Tweet,polarity,subjectivity,Sentiment
"RT @focusonline: ""Ich denke, dass es eine russische Rakete war"": Laut Selenskyj ist Russland für Rakete auf Polen verantwortlich https://t.…",0,0,Negative
"@ukraine_map SU-57 is labeled ""5th Gen"" by the Kremlin...🤨

Do we really all believe that it's even close to Wester… https://t.co/MFXnzC20HO",0.2,0.2,Negative
RT @Bitboy_Crypto: You guys understand what you are watching right now? You think this is a coincidence that suddenly we are sending Ukrain…,0.142857143,0.517857143,Negative
@djuric_zlatko Ukraine offers its condolences but claims to have evidence that they had no part in the accident. I… https://t.co/6XORycjv4k,0.1,0,Negative
"RT @UPR_Asselineau: 🔥 FEU D'ARTIFICE
AVEC NOS IMPÔTS 
Vidéo prise en Ukraine aujourd'hui. Un drone suicide tactique russe Lancet (en🇷🇺 : Ла…",0,0,Negative
"RT @RepMTG: The missile attack killing two innocent people in Poland was likely from Ukrainian Air Defense.

We must stop letting Zelensky…",0.25,0.85,Negative
RT @jacksonhinklle: I was called a dangerous conspiracy theorist yesterday for stating that Ukraine was responsible for the deadly missile…,-0.2,0.616666667,Positive
"RT @irgarner: A reminder that Russia shot down a passenger jet over Ukraine in 2014, killing 298 civilians, and the West shrugged and got o…",-0.155555556,0.288888889,Positive
"RT @bayraktar_1love: Croatia presumably will donate 14 Mi-8 and Mi-8 MTV-1 helicopters to Ukraine.
Link -https://t.co/lX5IaSRZNt",0,0,Negative
"RT @RepGosar: I will vote NO to any additional funding to Ukraine.

Enough is enough, I will not stand for this corrupt money laundering op…",-0.166666667,0.666666667,Positive
"RT @TpyxaNews: Air defense systems provided by the US and allied countries help Ukraine protect the civilian population, and the American N…",0,0,Negative
"RT @BashaDesta: Russia is behind the Tigray Genocide, collaborating with the Fascist Gov't of Ethiopia. It is backing the Tigray genocide a…",-0.4,0.7,Positive
"RT @trapperjohn37: So if I understand it right we sent money to Ukraine, then Ukraine invests money in a crypto scam that then spends 40 mi…",0.285714286,0.535714286,Negative
"@JackPosobiec Ukraine took Blame for that Missile yesterday evening, Please Keep Up",0,0,Negative
RT @JustinTrudeau: From the @G20org today: @RishiSunak and I spoke with @ZelenskyyUa as we stand firm with the people of Ukraine. We also a…,-0.2,0.4,Positive
@MunSecConf I am condemning Russia's agression on Ukraine.Are your goals to stop conflicts everywhere they exists t… https://t.co/gxXObB7QQl,0,0,Negative
"RT @MaajidNawaz: We TRIED to WARN you
و ما علينا الا البلاغ المبين

March 2022 with @Timcast:

“Azov NAZI Battalions are officially part of…",0,0,Negative
"@JustinTrudeau @AndrzejDuda BRUH, It was a ukrainian missile LOL, We going to invoke article 5 on Ukraine I hope?",0.8,0.7,Negative
"RT @GlasnostGone: In the picturesque seclusion of the wooded cemetery in Plesets'ke village near Kyiv, Russia killed this women. Shrapnel f…",-0.05,0.2,Positive
"@TerrinaMajnoona No.  I'm saying that the Pentagon watches every inch of Ukraine (maybe Poland, too).  They know where it launched.",0,0,Negative
"RT @irgarner: A reminder that Russia shot down a passenger jet over Ukraine in 2014, killing 298 civilians, and the West shrugged and got o…",-0.155555556,0.288888889,Positive
"RT @MelnykAndrij: Noch nie war es in Kyjiw so stockdunkel. Die Lage gruselig: kein Strom, kein Wasser, kein Mobilnetz. Der schlimmste Raket…",0,0,Negative
"RT @CheburekiMan: Proof that ""Slava Ukraini"" is a fascist salute:

The Second Congress of the OUN-B issued detailed instructions that the f…",0.2,0.375,Negative
"RT @MaajidNawaz: We TRIED to WARN you
و ما علينا الا البلاغ المبين

March 2022 with @Timcast:

“Azov NAZI Battalions are officially part of…",0,0,Negative
RT @UmlandAndreas: DER SPIEGEL https://t.co/qvCEDExOR9,0,0,Negative
"RT @DefenseBaron: JUST IN: The probability of Russia conquering Ukraine militarily is “close to zero,” says Gen. Milley, in rare Pentagon p…",0.1,0.5,Negative
"@OngManley It works. The PR machine went into overdrive. It’s close to mandatory to include references to Ukraine,… https://t.co/Yik2tqYxqY",0,0,Negative
"RT @DorameGary: ""A Complete Accident,  the missile went off by itself"" says Ukraine Guy https://t.co/4LqLkkZYbn",0.1,0.4,Negative
@txglntn @Sabomnim480121 @brainthots @DonaldJTrumpJr i dont think that means what you think it means really.  And w… https://t.co/fZWtv0jIaQ,0.2,0.2,Negative
"@brando1873 @alexymenez @ForzaMilan_79 @DrRandallMarsh @fasc1nate WW1, WW2, Vietnam War, Korean War, 9/11, Afghanis… https://t.co/KFUZMuaZQv",0,0,Negative
"@OlenaHalushka Vichnaya Pamyat'. Eternal Memory to Oleg, Hero of Ukraine. He will not be forgotten. May he Rest in Peace everlasting.",0,0,Negative
"RT @trapperjohn37: So if I understand it right we sent money to Ukraine, then Ukraine invests money in a crypto scam that then spends 40 mi…",0.285714286,0.535714286,Negative
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
"RT @BrainlessFrogz: "" Les démocrates envoient de l'argent à l'Ukraine, l'Ukraine envoie de l'argent à FTX, et FTX envoie de l'argent aux ca…",0,0,Negative
"RT @Maks_NAFO_FELLA: The winter war is beneficial to Ukrainians, - US Defense Minister Lloyd Austin.

 ""We provided Ukraine with a huge amo…",0.4,0.9,Negative
"RT @RonPaul: Did Ukraine Try To Lie Us Into WWIII? - today on the Liberty Report:
https://t.co/DuDCDIlCbg",0,0,Negative
RT @JamesBradleyCA: History will come to know Biden’s Ukraine War as the greatest financial scandal in American presidential history.,0.333333333,0.333333333,Negative
RT @timburchett: This was premature and we need to be careful. One of my concerns is that Ukraine will need  American “advisors” to handle…,-0.05,0.5,Positive
"RT @gchahal: WATCH: #BNNRussia Reports

Chechen leader Ramzan Kadyrov responds after learning that the SBU (Ukraine's Security Service) has…",0,0,Negative
"RT @ggreenwald: If we project out to a year, that would be $120 billion each year to fuel the US proxy war in Ukraine.

That's roughly 1/8…",-0.1,0.4,Positive
@disclosetv Ultimately responsible for Ukraine launching a missile in the wrong direction?,-0.15,0.725,Positive
RT @CTVNews: FIFA President calls for World Cup ceasefire in Ukraine at G20 https://t.co/Wxdluykv1j https://t.co/97c41XpHwZ,0,0,Negative
"RT @Faytuks: BREAKING: ""This is getting ridiculous. The Ukrainians are destroying [our] confidence in them. Nobody is blaming Ukraine and t…",-0.266666667,0.5,Positive
"RT @nickwestes: If approved, that’s more than $100 billion in aid to Ukraine just this year. Biden already approved $813 billion in US mili…",0.5,0.5,Negative
"RT @DonaldJTrumpJr: Since it was Ukraine's missile that hit our NATO ally Poland, can we at least stop spending billions to arm them now?",-0.3,0.4,Positive
RT @DarthPutinKGB: Ukraine is risking WW3 by shooting down an innocent Russian cruise missile on its way to denazify a childrens playground.,0.114814815,0.32962963,Negative
"RT @amanpour: We must “give Ukraine as much military aid as we can give, so that Ukraine can defend themselves and push the aggressor back…",-0.1,0.1,Positive
"RT @RepMTG: The missile attack killing two innocent people in Poland was likely from Ukrainian Air Defense.

We must stop letting Zelensky…",0.25,0.85,Negative
"RT @RichieHayes2: Without proof, Zelensky accuses Russia of firing missiles at Poland, killing two Poles, the media lap it up and the world…",0,0,Negative
"RT @AliciaandAlicia: 🇺🇦Kiev government humiliates and officially asks Jewish communities to hold prayer for ""defenders of Ukraine"" on Octob…",0,0,Negative
RT @rising_serpent: Biden-FTX-Ukraine is everything they claimed Trump was doing with Russia and then investigated him for five straight ye…,0.2,0.4,Negative
"RT @WarMonitors: ⚡️⚡️Financial Times: 

Responding to Zelensky’s remarks tonight, a NATO country diplomat told me: “This is getting ridicul…",0,0,Negative
"RT @JackPosobiec: US officials now admit blast in Poland caused by stray missile fired by Ukraine

https://t.co/6fBF2ldG6j",0,0,Negative
RT @TeiichiAoyama: 日本の大メディアは酷い。事実（事実認識）もないまま、日本の専門家と称する人の価値判断で、次々に記事を出す。今までその手の記事を見てきた。少しでもミサイル防衛MDの実態を知っていれば、また現場実態をすしれば事実が見えてくる。これほど酷い日本の…,0,0,Negative
RT @MriyaReport: Please do not forget the price #Ukraine is paying on a daily basis for OUR freedom. https://t.co/HSwD8la2oS,0,0,Negative
"RT @KonstantinKisin: Irresponsible coverage of the war helps no one. Western media need to be more responsible with their reporting.

https…",0.233333333,0.35,Negative
"RT @squatsons: Polish Prime Minister: After the incident with the missile, there is probably no need to apply Article 4 of the NATO treaty.…",0,0,Negative
Gegen die Mullahs: Liefert Internettechnik nach Iran wie Waffen in die Ukraine! https://t.co/9FsIIGWXQJ via @derspiegel @saschalobo,0,0,Negative
"@ianbremmer Ukraine must make reasonable concessions to realize a negotiated compromise peace, including territory… https://t.co/MOw9vAXe6g",0.2,0.6,Negative
RT @MriyaReport: Please do not forget the price #Ukraine is paying on a daily basis for OUR freedom. https://t.co/HSwD8la2oS,0,0,Negative
"@UKRINFORM To be sure, US, Poland, NATO &amp; kremlin know who’s missile. US  AWACS continually monitors airspace. The… https://t.co/kDfz3KZLj2",0.5,0.888888889,Negative
"RT @Flash_news_ua: ⚡️Germany announced an additional package of military support to Ukraine, — the press service of the Ministry of Defense…",-0.1,0.1,Positive
"RT @KyivIndependent: These are the indicative estimates of Russia’s combat losses as of Nov. 16, according to the Armed Forces of Ukraine.…",0,0,Negative
"RT @ferlain: To support the fundraising effort, please, donate via @MriyaAid 
https://t.co/tOvLPqXqEl
with a note ""RRB""
 
RT the 🧵 to help…",0,0,Negative
"RT @SethDillon: So Biden gave loads of money to Ukraine, who gave loads of money to FTX, who gave loads of money to Democrats.

Sounds like…",0,0,Negative
"RT @Tendar: Russia experienced another larger defeat at the Svatove front. Three T-72B3, relatively modern Russian tank types, have been ca…",0.25,0.425,Negative
RT @ReutersUS: Fears of war spillover ease after NATO says missile on Poland was Ukrainian stray https://t.co/kgaJTJADa0 https://t.co/p93r0…,0,0,Negative
"In the main, policy-makers have been more right than commentators on all aspects of the Russian invasion of Ukraine… https://t.co/Gxzhw68Y4o",0.238095238,0.342261905,Negative
@MissMar80768991 @RepMTG How much has been sent to Ukraine?,0.2,0.2,Negative
@sternenko То кацапи готуються до новорічного дитячого концерту!😁😁😁,0,0,Negative
"RT @parachicaa: 1/ Banksy has confirmed that he created seven murals in different places in Ukraine - in Kyiv, Irpin and Borodianka (both i…",0.2,0.8,Negative
"RT @Flash_news_ua: ⚡️New interception of MDI of the Ministry of Defense of Ukraine:

A military serviceman of the Russian Federation compla…",-0.05,0.05,Positive
RT @blackintheempir: Ukraine is not a NATO member and they bombed Poland,0,0,Negative
@AlexBerenson Potential nuclear war over the Ukraine is pretty dangerous.,-0.116666667,0.966666667,Positive
"RT @KyivIndependent: ⚡️Zelensky admits receiving hints that Putin wanted to negotiate. 

President Volodymyr Zelensky said on Nov. 16 that…",0,0,Negative
"RT @MrJonasDanner: Wollen wir es wirklich ignorieren, dass die Ukraine seit über 8 Monaten alles Menschenmögliche tut, um einen Weltkrieg l…",0,0,Negative
"Oldlouis Auctions - Russia, Germany, Tannu Tuva, Ukraine, Zeppelin &amp; Airmail - Auctio - November 29 - December 14,… https://t.co/IUJa5OdxDa",0,0,Negative
RT @michaeldweiss: Predicting the trajectory and pacing of this war has not been America's strong suit. Providing security assistance to le…,0.433333333,0.733333333,Negative
RT @mfa_russia: 💬 President #Putin: Those who collaborated with the Nazis out of cowardice have to cover up this betrayal of the interests…,0,0,Negative
"RT @GlasnostGone: #Ukraine's Security Service says it has discovered another ""torture chamber"" allegedly used by Russian forces during the…",-0.05,0.05,Positive
"RT @TpyxaNews: A high-quality telescopic infrared lens, manufactured by the Israeli company Ophir Optronics Solutions, found in the Iranian…",0,0,Negative
"@RepMTG Inflation, gas prices, war, immigration...and your party is banning CRT and preventing both trans children… https://t.co/9OgE3xX1TJ",0,0,Negative
"6 Months of War in Ukraine - Economics, Endurance &amp; the Energy War
#NATO #Poland #UnitedStates #WWIII #Ukraine https://t.co/NHc3mGvW69",0,0,Negative
"RT @MaajidNawaz: We TRIED to WARN you
و ما علينا الا البلاغ المبين

March 2022 with @Timcast:

“Azov NAZI Battalions are officially part of…",0,0,Negative
"RT @MaajidNawaz: We TRIED to WARN you
و ما علينا الا البلاغ المبين

March 2022 with @Timcast:

“Azov NAZI Battalions are officially part of…",0,0,Negative
RT @AldoSterone111: Ca fait des heures que les USA et la Pologne disent que le tir du missile vient du camp ukrainien. Mais l'Ukraine conti…,0,0,Negative
"RT @jeremycorbyn: I condemn the Russian invasion, the war against Ukraine and the illegal occupation. 

Today, I asked the Foreign Secretar…",-0.208333333,0.208333333,Positive
"RT @KyivIndependent: ⚡️Pentagon chief: NASAMS intercept all Russian missiles in Ukraine. 

The U.S. Defense Secretary Lloyd Austin said tha…",0,0,Negative
"RT @OneQuantumLeap: Extraordinary, that it's now accepted the missile strike in Poland originated from Ukraine.  Yet there are people still…",0.333333333,1,Negative
"RT @dim0kq: Anyway, people - no need to join our war against Russia. 

Just give us the tools. Give us ammo. 

We will figure it out. We ne…",0,0,Negative
RT @EuromaidanPR: #Ukraine demands to be allowed to inspect the scene in #Poland. We don't agree with the conclusion that the Ukrainian mis…,0,0,Negative
RT @GlasnostGone: Damming assessment of Putin's invasion of #Ukraine. US Joint Chiefs of Staff Chairman Gen. Mark Milley says “Russians fai…,0,0,Negative
"RT @Bubblebathgirl: Zelensky just got caught lying about the missile that killed innocent citizens in Poland.

It didn’t come from Russia l…",0.15,0.35,Negative
"@VP Shopping for other places to launder money?, now that there are too many eyes on Ukraine and FTX?",0.1875,0.4375,Negative
RT @KimDotcom: I have taken a lot of heat for calling out the US proxy war in Ukraine and for educating you about the real reasons for this…,0.2,0.3,Negative
"@GBNEWS @Nigel_Farage @Nigel_Farage, have you looked at the FTX scandal, money was being donated from them to Ukraine!",0,0,Negative
"RT @RepMTG: The missile attack killing two innocent people in Poland was likely from Ukrainian Air Defense.

We must stop letting Zelensky…",0.25,0.85,Negative
"RT @UPR_Asselineau: 🔥 FEU D'ARTIFICE
AVEC NOS IMPÔTS 
Vidéo prise en Ukraine aujourd'hui. Un drone suicide tactique russe Lancet (en🇷🇺 : Ла…",0,0,Negative
@RSmithC2 @WholeMarsBlog @ianbremmer @elonmusk You seem to have no idea how well Ukraine are doing.  Or who supplie… https://t.co/VJBxPBMQXw,0,0,Negative
"However, new reports now suggest that the missile that hit Poland was fired by Ukraine. Some people are now suggest… https://t.co/KUcUwNiajO",0.136363636,0.454545455,Negative
RT @JayinKyiv: Belarus complains that Ukraine has committed hostile actions by making it more difficult for Belarus to invade Ukraine.,0,0.75,Negative
@LondongradC @wearerosie_ Enjoy living in western Ukraine.,0.2,0.25,Negative
"RT @m_kollmorgen: Zur Erinnerung :
#Russland führt einen #Angriffskrieg gegen die #Ukraine! 👇 https://t.co/VS11w5LI1W",0,0,Negative
"RT @UkrainianNews24: Ukraine has managed to bring home 103 children who were forcibly taken from Ukraine by Russian occupiers.

Source: Yar…",0.25,0.5,Negative
"2014 article

https://t.co/P9bYMYlZnE",0,0,Negative
"RT @TomJChicago: Garland must answer for Giuliani not being charged, or Biden should fire him. Giuliani should not remain free after conspi…",0.4,0.8,Negative
"Last night, a Russian-made missile struck a locating in Poland, killing two people. At first, people thought it cam… https://t.co/A9a492fZtq",0.125,0.2,Negative
"RT @Justice_099: @NBCNews If it was just a mistake, then where is the missile that Ukraine was shooting down? 

They were just shooting ""de…",-0.155555556,0.288888889,Positive
"RT @DonaldJTrumpJr: Since it was Ukraine's missile that hit our NATO ally Poland, can we at least stop spending billions to arm them now?",-0.3,0.4,Positive
"RT @atrupar: Gen. Milley commits to supporting Ukraine: ""This is a war that Russia's leadership has chosen to put Russia into. They didn't…",0.25,0.25,Negative
"I just showed my support for UNICEF and the children. Check out UNICEF USA to learn what they are doing, and how yo… https://t.co/3jSReQDhSA",0,0,Negative
@DonaldJTrumpJr You dumbass. It was Russia’s missile. Ukraine shot it down.,-0.155555556,0.288888889,Positive
"RT @KyivIndependent: ⚡️Sweden to supply Ukraine with air defense systems.

According to Sweden’s Defense Minister Pål Jonson, the upcoming…",0,0,Negative
"RT @visegrad24: 100 foreign volunteer soldiers who sacrificed their lives for a sovereign and free Ukraine.

RIP heroes. https://t.co/jitTE…",0.1375,0.4625,Negative
"@DmytroKuleba Poland have confirmed it was from Ukraine, the BBC have verified it. Why lie and blame Russia? https://t.co/SS8DCMvoWG",0.4,1,Negative
"RT @GuntherEagleman: Remember, RINO Mitch McConnell went to Ukraine… He is in on it too.",0,0,Negative
"RT @USAmbOSCE: As Ukrainian forces liberate Kherson, they are uncovering evidence of torture and other despicable crimes committed by Russi…",-0.125,0.375,Positive
"RT @jakeshieldsajj: Ukraine shot missiles into Poland and tried blaming it on Russia 

Missiles supplied by our tax dollars",0,0,Negative
"Precht: Er irrt bei der Ukraine, will aber trotzdem Recht haben https://t.co/HoRQ9y44jH",0,0,Negative
RT @Sputnik_Not: Russian Foreign Ministry says Russia has nothing to do with incident that occurred while Ukraine was shooting down Russian…,-0.093518519,0.137962963,Positive
RT @MriyaReport: Please do not forget the price #Ukraine is paying on a daily basis for OUR freedom. https://t.co/HSwD8la2oS,0,0,Negative
"RT @SpencerGuard: Russia is 100% to blame for what happened in Poland. ""The more the world sits back and incrementally arms Ukraine, the mo…",0.25,0.25,Negative
"RT @WarMonitors: ⚡️⚡️Financial Times: 

Responding to Zelensky’s remarks tonight, a NATO country diplomat told me: “This is getting ridicul…",0,0,Negative
"RT @Faytuks: BREAKING: ""This is getting ridiculous. The Ukrainians are destroying [our] confidence in them. Nobody is blaming Ukraine and t…",-0.266666667,0.5,Positive
RT @Bitboy_Crypto: You guys understand what you are watching right now? You think this is a coincidence that suddenly we are sending Ukrain…,0.142857143,0.517857143,Negative
RT @damnitsbts: And Europeans have a lot of balls and audacity to speak about brown immigrants as if earlier this year we didn’t see yall b…,0,0.5,Negative
RT @highwalker69: @mfa_russia @Dpol_un @Amb_Ulyanov @RusEmbUSA @RussiaUN @EmbassyofRussia @RusEmbIndia @RusEmbTurkey @Rusembegypt @ItalyinR…,0,0,Negative
RT @AldoSterone111: Ca fait des heures que les USA et la Pologne disent que le tir du missile vient du camp ukrainien. Mais l'Ukraine conti…,0,0,Negative
RT @comradeaux: Are shitlibs going to criticize Ukraine after they lied about the rockets they fired into Poland yesterday in an attempt to…,0,0,Negative
https://t.co/iYcyrECblj,0,0,Negative
"RT @AZgeopolitics: 🇵🇱🇺🇦🚀Responding to Zelensky’s remarks tonight about the denial,a NATO country diplomat told me: “This is getting ridicul…",0,0,Negative
RT @Bitboy_Crypto: You guys understand what you are watching right now? You think this is a coincidence that suddenly we are sending Ukrain…,0.142857143,0.517857143,Negative
"RT @Zahnfee3x7: UKRAINE-KRIEG
Polen: Rakete stammte sehr wahrscheinlich von Ukraines Luftabwehr...
Bild Zeitung verbreitet Fake News. Etwas…",-0.5,1,Positive
"RT @Maks_NAFO_FELLA: The winter war is beneficial to Ukrainians, - US Defense Minister Lloyd Austin.

 ""We provided Ukraine with a huge amo…",0.4,0.9,Negative
Ukraine president says “now it’s time to end this war” and Russia said bet and shot off 19 missiles,0,0,Negative
RT @ANI: Military task of kicking Russia physically out of Ukraine is very difficult. It won't happen until Russian Army completely collaps…,-0.13,0.328571429,Positive
RT @lux_zemmour: Maman ils ne me croient pas pour le missile en #Pologne #ZelenskyWarCriminal 🤡 #Polska #WorldWarIII #medias #propagande #U…,0,0,Negative
@ukraine_world NATO could just help destroy any missile launched by Russia over Ukraine air space,-0.2,0,Positive
"RT @bennyjohnson: UKRAINE tried to start WW3 yesterday when a UKRAINIAN missile struck a NATO country and killed innocent civilians.

Ukrai…",0.15,0.35,Negative
RT @ukrainiansquad: These warriors force you to love them. With you guys Ukraine will be free.❤️ https://t.co/b8ySXN62Gq,0.5,0.6,Negative
RT @GicAriana: Influential Ukrainian media @EuropeanPravda suggests that Poland might insist that @NATO air defence should also cover the b…,0,0,Negative
RT @MriyaReport: Please do not forget the price #Ukraine is paying on a daily basis for OUR freedom. https://t.co/HSwD8la2oS,0,0,Negative
"RT @OstapYarysh: Latest donations by #Ukraine allies:

🇸🇪: $287 million pkg with air defense systems; 
🇪🇸: Hawk launchers + missiles; 
🇨🇦:…",0.5,0.9,Negative
@DonaldJTrumpJr Russian missiles are hitting hospitals and playgrounds when they claim they’re only going arter mil… https://t.co/OsRZEA1DhX,0,0.5,Negative
RT @WarMonitor3: Croatia to provide 14 Mil Mi-8 helicopters to Ukraine in exchange for Blackhawk helicopters.,0,0,Negative
@Winter_z123 @OriginalRamayan @KyivIndependent Yes I’m glad Ukraine is still voicing its side of the story. Very brave!,0.75,1,Negative
@im_PULSE @PostOpinions Appeasement and compromise will not work. Putin's imperialism and genocide will not stop at… https://t.co/4Bho0wZ3cg,0,0,Negative
"Juin 40 Pétain capitule, l’Allemagne découpe notre pays en zones d’occupations dont partie remise à l’Italie..Juin… https://t.co/kG0MbTpSDM",0,0,Negative
@SkepticUltra @VaushV @comradewatson Russia will just be begging that Poland and Ukraine will not bully them,0,0,Negative
@kingojungle Politicians not supporting an audit of taxpayers money given to Ukraine are afraid of what an audit wi… https://t.co/wXCanMaK6p,-0.3625,0.575,Positive
"RT @Bubblebathgirl: Zelensky just got caught lying about the missile that killed innocent citizens in Poland.

It didn’t come from Russia l…",0.15,0.35,Negative
"RT @berlin_bridge: If NATO isn’t willing to #CloseTheSkies, its members should withdraw objections to #Ukraine striking military sites firi…",0.216666667,0.616666667,Negative
RT @KimDotcom: I have taken a lot of heat for calling out the US proxy war in Ukraine and for educating you about the real reasons for this…,0.2,0.3,Negative
"RT @AnnwieAnna: #Sweden announces its largest support package to #Ukraine so far.Includes air defence system (unspecified),ammo for a secon…",0,0,Negative
RT @nicupopescu: Parts of Moldova are experiencing power outages as a result of Russia's missiles hitting Ukrainian cities &amp; vital infrastr…,0.1,0.4,Negative
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
"RT @saintjavelin: “We have heating, no electricity, no water, no mobile or internet connection, but NO RUSSIANS! I am extremely happy becau…",0.8,1,Negative
"RT @MrJonasDanner: Wollen wir es wirklich ignorieren, dass die Ukraine seit über 8 Monaten alles Menschenmögliche tut, um einen Weltkrieg l…",0,0,Negative
"RT @jaijairry: ❓Ukrainian air defense missiles aimed to the west to intercept missiles coming from the east. 🤡
In reality, two Ukrainian S-…",0,0,Negative
RT @JackPosobiec: Ukraine asked for a full-scale NATO intervention yesterday,0,0,Negative
"RT @KilledInUkraine: ⚡️ Lieutenant Colonel Кабицкий Вячеслав (Kabitsky Vyacheslav) massively celebrated as the “Hero Z of Spetsoperatsiya”,…",0.35,0.75,Negative
RT @McCormack_Tara: Last night Ukrainian MPs were calling for Article 5 &amp; Zelensky for a tough response to what they knew already were Ukra…,-0.194444444,0.45,Positive
"RT @RepTroyNehls: The missile that killed two people in Poland was likely from Ukraine Air Defense. 

If Zelensky knew and chose to lie, th…",-0.1,0.5,Positive
"‘""Ukraine will continue to endure. Ukraine isn't going to back down,"" said Army General #MarkMilley, chairman of… https://t.co/0cRGltpa3X",-0.035185185,0.262962963,Positive
RT @JosephLemire198: @kali_Merry @BFMTV Le stade de la ville de Ternopil en Ukraine a été renommé le 5 mars dernier en l’honneur du nationa…,0,0,Negative
"@baturner_vc @CassandraRules Again, everyone who does any kind of reading knows that there are Nazis in Ukraine. I… https://t.co/2gOfAfYNSC",0.6,0.9,Negative
"RT @ianbremmer: @DavidSacks key point: responsibility for the invasion is 100% on the kremlin. 

return to feb 24 territorial lines has to…",0,1,Negative
"RT @MaajidNawaz: We TRIED to WARN you
و ما علينا الا البلاغ المبين

March 2022 with @Timcast:

“Azov NAZI Battalions are officially part of…",0,0,Negative
"RT @Flash_news_ua: The Chairman of the Joint Chiefs of Staff, General Mark Milley, said that Russia had failed ""every single"" goal in its w…",-0.173809524,0.338095238,Positive
RT @Blue_Sauron: Ukrainian serviceman at Pavlivka axis (right between these 3 neutralized Russian AFVs in quoted tweet) firing an RPG round…,0.142857143,0.267857143,Negative
@KyivIndependent @KofmanMichael Correction 👌 “Gains for nazi Ukraine” will become wet dreams at -10° with no electricity and heating.,-0.1,0.4,Positive
"RT @BackAndAlive: Майже 60 мільйонів гривень🔥 

За добу ми з вами і @igorlachenkov зібрали на «Black box» загалом 59 942 270 грн. 
 
Але на…",0,0,Negative
"RT @PeterZeihan: dunno if this is real - industrial accidents happen
Regardless, Russia has massive amounts of unguarded energy infrastruct…",0.1,0.65,Negative
"RT @UPR_Asselineau: 🔥 FEU D'ARTIFICE
AVEC NOS IMPÔTS 
Vidéo prise en Ukraine aujourd'hui. Un drone suicide tactique russe Lancet (en🇷🇺 : Ла…",0,0,Negative
‘The US will support Ukraine in its efforts to defend itself against invading Russian forces for as long as it take… https://t.co/kRP8BwBcD1,-0.025,0.2,Positive
RT @JustinTrudeau: From the @G20org today: @RishiSunak and I spoke with @ZelenskyyUa as we stand firm with the people of Ukraine. We also a…,-0.2,0.4,Positive
RT @ASavageNation: is it possible Ukraine fired missiles  into Poland to drag NATO/US into war with Russia?,-0.05,0.535416667,Positive
@RealCandaceO Nazis! Ukraine is no ally to the west .,0,0,Negative
"RT @GuntherEagleman: Remember, RINO Mitch McConnell went to Ukraine… He is in on it too.",0,0,Negative
"RT @RpsAgainstTrump: @RepMTG 2 weeks ago, you said: ""Under Republicans, not another penny will go to Ukraine."". Now you're saying you want…",0,0,Negative
